Level,Date and Time,Source,Event ID,Task Category
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2904/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2905/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2906/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2907/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2908/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2909/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2910/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2911/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2912/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2913/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2914/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2915/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2916/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2917/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2918/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2919/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2920/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2921/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2922/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2923/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2924/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2925/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2926/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2927/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2928/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2929/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2930/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2931/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2932/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2933/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2934/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2935/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2936/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2937/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2938/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2939/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2940/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2941/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2942/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2943/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2944/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2945/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2946/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2947/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2948/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2949/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2950/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2951/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2952/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2953/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2954/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2955/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2956/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2957/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2958/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2959/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2960/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2961/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2962/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2963/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2964/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2965/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2966/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2967/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2968/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2969/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2970/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:15099/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://127.0.0.1:8884:127.0.0.1/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:45:03 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:5357/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:45:03 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:80/Temporary_Listen_Addresses/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:45:03 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://*:5358/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:45:03 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:443/sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:45:03 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:5986/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:45:03 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:47001/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:45:03 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:5985/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
